,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4970037,1434879,15775,84267,119830,38610,15201,7898,14681,1823496,106883,42883,673722,209450,43450,153825,137558
Total_people_one_dose,2908644,809594,9094,50499,66770,22542,8987,4510,8397,1115044,65749,25659,397335,126027,26502,90314,81621
Total_people_complete,2241092,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,574561,,,,,,,,,,,,,,,,
55-64 years,288563,,,,,,,,,,,,,,,,
45-54 years,212799,,,,,,,,,,,,,,,,
20-44 years,446772,,,,,,,,,,,,,,,,
Less than 20 years,49763,,,,,,,,,,,,,,,,
65 years and older,4510,,,,,,,,,,,,,,,,
55-64 years,240165,,,,,,,,,,,,,,,,
45-54 years,184465,,,,,,,,,,,,,,,,
20-44 years,397707,,,,,,,,,,,,,,,,
Less than 20 years,42680,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",65137,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",68083,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",107007,,,,,,,,,,,,,,,,
Hispanic or Latino,371692,,,,,,,,,,,,,,,,
Unknown,396598,,,,,,,,,,,,,,,,
Other Race,497255,,,,,,,,,,,,,,,,
"White, non-Hispanic",1402872,,,,,,,,,,,,,,,,
