Category,Yuma
Total_doses_administered,318945
Total_people_one_dose,159961
Total_people_complete,127902
total_pouluation,159961
Male-65 years and older,17097
Male-55-64 years,10676
Male-45-54 years,9310
Male-20-44 years,28421
Male-Less than 20 years,12644
Female-65 years and older,19658
Female-55-64 years,11408
Female-45-54 years,10237
Female-20-44 years,26777
Female-Less than 20 years,13120
"Black or African American, non-Hispanic",840
"American Indian or Alaska Native, non-Hispanic",1187
"Asian or Pacific Islander, non-Hispanic",1230
Other Race,19340
Unknown,29681
"White, non-Hispanic",35398
Hispanic or Latino,72285
