Category,Mohave
Total_doses_administered,188633
Total_people_one_dose,91287
Total_people_complete,76878
total_pouluation,91287
Male-65 years and older,21214
Male-55-64 years,8325
Male-45-54 years,4337
Male-20-44 years,7634
Male-Less than 20 years,1872
Female-65 years and older,23293
Female-55-64 years,9673
Female-45-54 years,4883
Female-20-44 years,7812
Female-Less than 20 years,2064
"Black or African American, non-Hispanic",626
"American Indian or Alaska Native, non-Hispanic",751
"Asian or Pacific Islander, non-Hispanic",1394
Hispanic or Latino,7344
Unknown,11615
Other Race,14512
"White, non-Hispanic",55045
