Category,Graham
Total_doses_administered,45018
Total_people_one_dose,21443
Total_people_complete,18698
total_pouluation,21443
Male-65 years and older,2418
Male-55-64 years,1589
Male-45-54 years,1455
Male-20-44 years,3618
Male-Less than 20 years,1238
Female-65 years and older,2929
Female-55-64 years,1736
Female-45-54 years,1427
Female-20-44 years,3660
Female-Less than 20 years,1361
"Asian or Pacific Islander, non-Hispanic",86
"Black or African American, non-Hispanic",93
Other Race,1303
Hispanic or Latino,3867
Unknown,4132
"American Indian or Alaska Native, non-Hispanic",5421
"White, non-Hispanic",6541
