Category,Pima
Total_doses_administered,1605102
Total_people_one_dose,740073
Total_people_complete,631307
total_pouluation,740073
Male-65 years and older,92743
Male-55-64 years,48725
Male-45-54 years,42101
Male-20-44 years,112974
Male-Less than 20 years,45858
Female-65 years and older,119270
Female-55-64 years,58262
Female-45-54 years,47631
Female-20-44 years,124177
Female-Less than 20 years,46862
"American Indian or Alaska Native, non-Hispanic",15600
"Black or African American, non-Hispanic",16881
"Asian or Pacific Islander, non-Hispanic",22396
Unknown,66201
Other Race,92157
Hispanic or Latino,181503
"White, non-Hispanic",345335
