Category,La Paz
Total_doses_administered,18289
Total_people_one_dose,9065
Total_people_complete,7558
total_pouluation,9065
Male-65 years and older,2453
Male-55-64 years,625
Male-45-54 years,326
Male-20-44 years,688
Male-Less than 20 years,381
Female-65 years and older,2468
Female-55-64 years,746
Female-45-54 years,379
Female-20-44 years,603
Female-Less than 20 years,377
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",544
Other Race,1192
Hispanic or Latino,1353
Unknown,1865
"White, non-Hispanic",3981
