Category,Yavapai
Total_doses_administered,251254
Total_people_one_dose,118637
Total_people_complete,99660
total_pouluation,118637
Male-65 years and older,26179
Male-55-64 years,9288
Male-45-54 years,5121
Male-20-44 years,10354
Male-Less than 20 years,3004
Female-65 years and older,31847
Female-55-64 years,11691
Female-45-54 years,6089
Female-20-44 years,10626
Female-Less than 20 years,3289
"Black or African American, non-Hispanic",577
"American Indian or Alaska Native, non-Hispanic",1445
"Asian or Pacific Islander, non-Hispanic",1466
Hispanic or Latino,8279
Other Race,17421
Unknown,18712
"White, non-Hispanic",70737
