Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9862545,62378,208470,167569,45018,9603,56928,18289,5702975,188633,101585,527397,1605102,111585,251254,318945
Total_people_complete,3960251,22845,82174,67494,18698,3813,23053,7558,2316424,76878,40790,221337,631307,44592,99660,127902
total_pouluation,7189020,29846,95712,82534,21443,4421,26353,9065,2677252,91287,49728,255376,740073,57301,118637,159961
Total_people_one_dose,4709085,29846,95712,82534,21443,4421,26353,9065,2677252,91287,49728,255376,740073,57301,118637,159961
Male-65 years and older,573325,2816,9499,11384,2418,516,5866,2453,288137,21214,7403,37447,92743,4781,26179,17097
Male-55-64 years,333314,2059,6399,5624,1589,375,2239,625,190300,8325,3600,18607,48725,3316,9288,10676
Male-45-54 years,300785,1646,5866,4398,1455,330,1262,326,184702,4337,2738,16992,42101,3470,5121,9310
Male-20-44 years,748567,3945,17359,11781,3618,795,2439,688,443043,7634,5887,38799,112974,9188,10354,28421
Male-Less than 20 years,272451,4130,6304,5698,1238,231,764,381,152841,1872,4475,13042,45858,6654,3004,12644
Female-65 years and older,696765,3387,10686,13337,2929,519,6264,2468,359887,23293,8323,43001,119270,5785,31847,19658
Female-55-64 years,378764,2200,7186,6659,1736,318,2627,746,213857,9673,4130,20933,58262,3639,11691,11408
Female-45-54 years,323718,1615,5905,4943,1427,329,1401,379,200049,4883,2741,17298,47631,3769,6089,10237
Female-20-44 years,782417,3841,19730,12519,3660,766,2601,603,474161,7812,5786,35686,124177,9627,10626,26777
Female-Less than 20 years,279059,4199,6507,6089,1361,240,832,377,155842,2064,4608,12826,46862,6986,3289,13120
"Black or African American, non-Hispanic",142698,59,794,1600,93,53,92,41,104097,626,204,9360,16881,60,577,840
"Asian or Pacific Islander, non-Hispanic",180134,136,1671,1503,86,43,209,89,135950,1394,368,5216,22396,187,1466,1230
"American Indian or Alaska Native, non-Hispanic",203002,23102,22903,365,5421,125,2736,544,52476,751,21736,9974,15600,57,1445,1187
Unknown,429061,1142,12547,9864,4132,316,4596,1865,180316,11615,2375,30163,66201,3921,18712,29681
Other Race,672418,1156,8741,12035,1303,92,4196,1192,430807,14512,6353,31374,92157,3556,17421,19340
Hispanic or Latino,880942,579,7310,23701,3867,1996,1462,1353,453038,7344,2534,41402,181503,41856,8279,72285
"White, non-Hispanic",2200830,3672,41746,33466,6541,1796,13062,3981,1320568,55045,16158,127887,345335,7664,70737,35398
