Category,Cochise
Total_doses_administered,176281
Total_people_one_dose,85330
Total_people_complete,68804
total_pouluation,85330
Male-65 years and older,11570
Male-55-64 years,5738
Male-45-54 years,4555
Male-20-44 years,12146
Male-Less than 20 years,6257
Female-65 years and older,13558
Female-55-64 years,6810
Female-45-54 years,5113
Female-20-44 years,12904
Female-Less than 20 years,6576
"American Indian or Alaska Native, non-Hispanic",376
"Asian or Pacific Islander, non-Hispanic",1539
"Black or African American, non-Hispanic",1654
Unknown,10262
Other Race,12244
Hispanic or Latino,25201
"White, non-Hispanic",34054
