Category,Arizona
Total_doses_administered,10293457
Total_people_complete,4018441
total_pouluation,7189020
Total_people_one_dose,4837181
Male-65 years and older,585059
Male-55-64 years,339667
Male-45-54 years,306770
Male-20-44 years,767800
Male-Less than 20 years,291096
Female-65 years and older,710831
Female-55-64 years,386032
Female-45-54 years,330172
Female-20-44 years,803053
Female-Less than 20 years,296822
"Black or African American, non-Hispanic",147904
"Asian or Pacific Islander, non-Hispanic",185815
"American Indian or Alaska Native, non-Hispanic",210316
Unknown,435714
Other Race,685010
Hispanic or Latino,921338
"White, non-Hispanic",2251084
