Category,Yuma
Total_doses_administered,332826
Total_people_one_dose,165194
Total_people_complete,129716
total_pouluation,165194
Male-65 years and older,17683
Male-55-64 years,10953
Male-45-54 years,9475
Male-20-44 years,29090
Male-Less than 20 years,13580
Female-65 years and older,20243
Female-55-64 years,11741
Female-45-54 years,10420
Female-20-44 years,27407
Female-Less than 20 years,13966
"Black or African American, non-Hispanic",870
"American Indian or Alaska Native, non-Hispanic",1208
"Asian or Pacific Islander, non-Hispanic",1272
Other Race,19867
Unknown,30193
"White, non-Hispanic",36672
Hispanic or Latino,75112
