Category,Mohave
Total_doses_administered,195260
Total_people_one_dose,93231
Total_people_complete,77985
total_pouluation,93231
Male-65 years and older,21584
Male-55-64 years,8494
Male-45-54 years,4425
Male-20-44 years,7863
Male-Less than 20 years,1993
Female-65 years and older,23648
Female-55-64 years,9806
Female-45-54 years,4972
Female-20-44 years,8073
Female-Less than 20 years,2193
"Black or African American, non-Hispanic",654
"American Indian or Alaska Native, non-Hispanic",782
"Asian or Pacific Islander, non-Hispanic",1435
Hispanic or Latino,7659
Unknown,11682
Other Race,14726
"White, non-Hispanic",56293
