Category,La Paz
Total_doses_administered,18878
Total_people_one_dose,9262
Total_people_complete,7621
total_pouluation,9262
Male-65 years and older,2512
Male-55-64 years,651
Male-45-54 years,336
Male-20-44 years,698
Male-Less than 20 years,394
Female-65 years and older,2497
Female-55-64 years,761
Female-45-54 years,386
Female-20-44 years,624
Female-Less than 20 years,384
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",552
Other Race,1214
Hispanic or Latino,1386
Unknown,1921
"White, non-Hispanic",4053
