Category,Pinal
Total_doses_administered,548966
Total_people_one_dose,261727
Total_people_complete,224561
total_pouluation,261727
Male-65 years and older,38084
Male-55-64 years,18883
Male-45-54 years,17283
Male-20-44 years,39746
Male-Less than 20 years,14012
Female-65 years and older,43723
Female-55-64 years,21335
Female-45-54 years,17609
Female-20-44 years,36571
Female-Less than 20 years,13740
"Asian or Pacific Islander, non-Hispanic",5399
"Black or African American, non-Hispanic",9658
"American Indian or Alaska Native, non-Hispanic",10439
Unknown,30386
Other Race,31980
Hispanic or Latino,42961
"White, non-Hispanic",130904
