Category,Yavapai
Total_doses_administered,259883
Total_people_one_dose,120898
Total_people_complete,101090
total_pouluation,120898
Male-65 years and older,26633
Male-55-64 years,9409
Male-45-54 years,5200
Male-20-44 years,10673
Male-Less than 20 years,3141
Female-65 years and older,32336
Female-55-64 years,11861
Female-45-54 years,6173
Female-20-44 years,10893
Female-Less than 20 years,3434
"Black or African American, non-Hispanic",604
"American Indian or Alaska Native, non-Hispanic",1481
"Asian or Pacific Islander, non-Hispanic",1512
Hispanic or Latino,8603
Other Race,17770
Unknown,18454
"White, non-Hispanic",72474
