Category,Navajo
Total_doses_administered,106290
Total_people_one_dose,51275
Total_people_complete,41541
total_pouluation,51275
Male-65 years and older,7550
Male-55-64 years,3679
Male-45-54 years,2813
Male-20-44 years,6097
Male-Less than 20 years,4728
Female-65 years and older,8516
Female-55-64 years,4203
Female-45-54 years,2826
Female-20-44 years,5991
Female-Less than 20 years,4833
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",381
Unknown,2467
Hispanic or Latino,2675
Other Race,6437
"White, non-Hispanic",16468
"American Indian or Alaska Native, non-Hispanic",22632
