Category,Maricopa
Total_doses_administered,5939886
Total_people_one_dose,2740664
Total_people_complete,2347860
total_pouluation,2740664
Male-65 years and older,292985
Male-55-64 years,193275
Male-45-54 years,187802
Male-20-44 years,453032
Male-Less than 20 years,162696
Female-65 years and older,366143
Female-55-64 years,217198
Female-45-54 years,203293
Female-20-44 years,484740
Female-Less than 20 years,165160
"American Indian or Alaska Native, non-Hispanic",53821
"Black or African American, non-Hispanic",107666
"Asian or Pacific Islander, non-Hispanic",139818
Unknown,184366
Other Race,437366
Hispanic or Latino,471798
"White, non-Hispanic",1345829
