Category,La Paz
Total_doses_administered,14778
Total_people_one_dose,8001
Total_people_complete,7054
total_pouluation,8001
Male-65 years and older,2221
Male-55-64 years,578
Male-45-54 years,294
Male-20-44 years,587
Male-Less than 20 years,236
Female-65 years and older,2277
Female-55-64 years,676
Female-45-54 years,349
Female-20-44 years,528
Female-Less than 20 years,239
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",84
"American Indian or Alaska Native, non-Hispanic",350
Hispanic or Latino,1150
Other Race,1169
Unknown,1831
"White, non-Hispanic",3385
