Category,Navajo
Total_doses_administered,79505
Total_people_one_dose,42932
Total_people_complete,35970
total_pouluation,42932
Male-65 years and older,6778
Male-55-64 years,3307
Male-45-54 years,2409
Male-20-44 years,5186
Male-Less than 20 years,3123
Female-65 years and older,7641
Female-55-64 years,3770
Female-45-54 years,2415
Female-20-44 years,4974
Female-Less than 20 years,3296
"Black or African American, non-Hispanic",181
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2193
Unknown,2377
Other Race,7885
"White, non-Hispanic",13403
"American Indian or Alaska Native, non-Hispanic",16540
