Category,Cochise
Total_doses_administered,127781
Total_people_one_dose,69679
Total_people_complete,62114
total_pouluation,69679
Male-65 years and older,10326
Male-55-64 years,5000
Male-45-54 years,3844
Male-20-44 years,10373
Male-Less than 20 years,3068
Female-65 years and older,12347
Female-55-64 years,6126
Female-45-54 years,4369
Female-20-44 years,10954
Female-Less than 20 years,3180
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1323
"Black or African American, non-Hispanic",1335
Unknown,9231
Other Race,11433
Hispanic or Latino,16915
"White, non-Hispanic",29138
