Category,Apache
Total_doses_administered,36095
Total_people_one_dose,20108
Total_people_complete,12873
total_pouluation,20108
Male-65 years and older,2107
Male-55-64 years,1441
Male-45-54 years,1097
Male-20-44 years,2619
Male-Less than 20 years,2672
Female-65 years and older,2421
Female-55-64 years,1510
Female-45-54 years,1084
Female-20-44 years,2407
Female-Less than 20 years,2742
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",108
Hispanic or Latino,465
Unknown,1164
Other Race,1231
"White, non-Hispanic",3185
"American Indian or Alaska Native, non-Hispanic",13907
