Category,Maricopa
Total_doses_administered,4699614
Total_people_one_dose,2436989
Total_people_complete,2162018
total_pouluation,2436989
Male-65 years and older,271463
Male-55-64 years,179559
Male-45-54 years,172697
Male-20-44 years,406826
Male-Less than 20 years,109641
Female-65 years and older,340621
Female-55-64 years,203061
Female-45-54 years,188334
Female-20-44 years,436482
Female-Less than 20 years,113912
"American Indian or Alaska Native, non-Hispanic",44697
"Black or African American, non-Hispanic",88091
"Asian or Pacific Islander, non-Hispanic",116811
Unknown,182629
Hispanic or Latino,390472
Other Race,446790
"White, non-Hispanic",1167499
