Category,Yavapai
Total_doses_administered,197337
Total_people_one_dose,108292
Total_people_complete,92145
total_pouluation,108292
Male-65 years and older,23821
Male-55-64 years,8663
Male-45-54 years,4727
Male-20-44 years,9349
Male-Less than 20 years,2196
Female-65 years and older,29726
Female-55-64 years,11053
Female-45-54 years,5615
Female-20-44 years,9487
Female-Less than 20 years,2507
"Black or African American, non-Hispanic",479
"American Indian or Alaska Native, non-Hispanic",1211
"Asian or Pacific Islander, non-Hispanic",1228
Hispanic or Latino,7102
Other Race,16978
Unknown,24773
"White, non-Hispanic",56521
