Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7946330,36095,164379,127781,36892,7677,45494,14778,4699614,150736,79505,428426,1272436,84041,197337,249994
Total_people_complete,351145,12873,77401,62114,17220,3518,21761,7054,2162018,70221,35970,203990,591864,41231,92145,117425
total_pouluation,7189020,20108,85845,69679,19370,4045,24415,8001,2436989,82695,42932,229697,659224,45546,108292,135227
Total_people_one_dose,4184523,20108,85845,69679,19370,4045,24415,8001,2436989,82695,42932,229697,659224,45546,108292,135227
Male-65 years and older,523720,2107,8829,10326,2313,494,5485,2221,271463,19078,6778,34600,86285,4350,23821,14632
Male-55-64 years,307594,1441,6014,5000,1526,370,2141,578,179559,7702,3307,17377,45511,3016,8663,9540
Male-45-54 years,276477,1097,5461,3844,1369,311,1195,294,172697,3959,2409,15647,38811,3114,4727,8528
Male-20-44 years,675179,2619,15985,10373,3303,750,2235,587,406826,6765,5186,34306,102576,8364,9349,25101
Male-Less than 20 years,185571,2672,4137,3068,813,143,552,236,109641,1417,3123,9368,28940,3205,2196,7829
Female-65 years and older,643908,2421,10051,12347,2785,494,5944,2277,340621,21569,7641,40190,112518,5244,29726,17156
Female-55-64 years,351835,1510,6806,6126,1660,314,2478,676,203061,9086,3770,19733,54844,3264,11053,10237
Female-45-54 years,299743,1084,5605,4369,1340,311,1336,349,188334,4489,2415,16047,44426,3310,5615,9434
Female-20-44 years,706945,2407,18250,10954,3329,708,2360,528,436482,6869,4974,32265,113251,8319,9487,23962
Female-Less than 20 years,194061,2742,4453,3180,920,148,631,239,113912,1592,3296,9421,30641,3306,2507,8359
"Black or African American, non-Hispanic",118843,48,656,1335,80,40,77,32,88091,514,181,7908,13338,46,479,677
"Asian or Pacific Islander, non-Hispanic",152846,108,1385,1323,89,40,198,84,116811,1184,353,4509,18734,167,1228,1035
"American Indian or Alaska Native, non-Hispanic",156698,13907,18710,304,4689,98,2362,350,44697,598,16540,8090,12794,47,1211,1030
Unknown,450494,1164,15132,9231,4125,299,5038,1831,182629,12828,2377,30619,83079,2822,24773,29980
Other Race,680264,1231,10553,11433,1528,109,4439,1169,446790,14931,7885,30432,93516,3116,16978,14915
Hispanic or Latino,737222,465,6158,16915,3368,1809,1308,1150,390472,6308,2193,36003,150764,32678,7102,59887
"White, non-Hispanic",1888156,3185,33251,29138,5491,1650,10993,3385,1167499,46332,13403,112136,286999,6670,56521,27703
