Category,Coconino
Total_doses_administered,164379
Total_people_one_dose,85845
Total_people_complete,77401
total_pouluation,85845
Male-65 years and older,8829
Male-55-64 years,6014
Male-45-54 years,5461
Male-20-44 years,15985
Male-Less than 20 years,4137
Female-65 years and older,10051
Female-55-64 years,6806
Female-45-54 years,5605
Female-20-44 years,18250
Female-Less than 20 years,4453
"Black or African American, non-Hispanic",656
"Asian or Pacific Islander, non-Hispanic",1385
Hispanic or Latino,6158
Other Race,10553
Unknown,15132
"American Indian or Alaska Native, non-Hispanic",18710
"White, non-Hispanic",33251
