Category,Arizona
Total_doses_administered,7946330
Total_people_complete,351145
total_pouluation,7189020
Total_people_one_dose,4184523
Male-65 years and older,523720
Male-55-64 years,307594
Male-45-54 years,276477
Male-20-44 years,675179
Male-Less than 20 years,185571
Female-65 years and older,643908
Female-55-64 years,351835
Female-45-54 years,299743
Female-20-44 years,706945
Female-Less than 20 years,194061
"Black or African American, non-Hispanic",118843
"Asian or Pacific Islander, non-Hispanic",152846
"American Indian or Alaska Native, non-Hispanic",156698
Unknown,450494
Other Race,680264
Hispanic or Latino,737222
"White, non-Hispanic",1888156
