Category,Yuma
Total_doses_administered,249994
Total_people_one_dose,135227
Total_people_complete,117425
total_pouluation,135227
Male-65 years and older,14632
Male-55-64 years,9540
Male-45-54 years,8528
Male-20-44 years,25101
Male-Less than 20 years,7829
Female-65 years and older,17156
Female-55-64 years,10237
Female-45-54 years,9434
Female-20-44 years,23962
Female-Less than 20 years,8359
"Black or African American, non-Hispanic",677
"American Indian or Alaska Native, non-Hispanic",1030
"Asian or Pacific Islander, non-Hispanic",1035
Other Race,14915
"White, non-Hispanic",27703
Unknown,29980
Hispanic or Latino,59887
