Category,Apache
Total_doses_administered,39084
Total_people_one_dose,21518
Total_people_complete,16719
total_pouluation,21518
Male-65 years and older,2281
Male-55-64 years,1566
Male-45-54 years,1195
Male-20-44 years,2804
Male-Less than 20 years,2709
Female-65 years and older,2676
Female-55-64 years,1675
Female-45-54 years,1199
Female-20-44 years,2623
Female-Less than 20 years,2782
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,492
Other Race,1232
Unknown,1514
"White, non-Hispanic",3255
"American Indian or Alaska Native, non-Hispanic",14868
