Category,Yavapai
Total_doses_administered,207871
Total_people_one_dose,110051
Total_people_complete,94627
total_pouluation,110051
Male-65 years and older,24312
Male-55-64 years,8739
Male-45-54 years,4786
Male-20-44 years,9562
Male-Less than 20 years,2234
Female-65 years and older,30169
Female-55-64 years,11156
Female-45-54 years,5696
Female-20-44 years,9713
Female-Less than 20 years,2536
"Black or African American, non-Hispanic",485
"American Indian or Alaska Native, non-Hispanic",1233
"Asian or Pacific Islander, non-Hispanic",1245
Hispanic or Latino,7300
Other Race,17155
Unknown,24708
"White, non-Hispanic",57925
