Category,La Paz
Total_doses_administered,15414
Total_people_one_dose,8177
Total_people_complete,7222
total_pouluation,8177
Male-65 years and older,2256
Male-55-64 years,584
Male-45-54 years,302
Male-20-44 years,615
Male-Less than 20 years,251
Female-65 years and older,2306
Female-55-64 years,686
Female-45-54 years,356
Female-20-44 years,546
Female-Less than 20 years,259
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",373
Other Race,1172
Hispanic or Latino,1184
Unknown,1894
"White, non-Hispanic",3436
