Category,Cochise
Total_doses_administered,133990
Total_people_one_dose,71617
Total_people_complete,63877
total_pouluation,71617
Male-65 years and older,10529
Male-55-64 years,5098
Male-45-54 years,3950
Male-20-44 years,10693
Male-Less than 20 years,3375
Female-65 years and older,12520
Female-55-64 years,6176
Female-45-54 years,4456
Female-20-44 years,11201
Female-Less than 20 years,3525
"American Indian or Alaska Native, non-Hispanic",309
"Asian or Pacific Islander, non-Hispanic",1335
"Black or African American, non-Hispanic",1369
Unknown,9641
Other Race,11468
Hispanic or Latino,17840
"White, non-Hispanic",29655
