Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8314932,39084,172373,133990,38392,7917,47939,15414,4904067,158814,84282,448525,1331472,87175,207871,261158
Total_people_complete,376459,16719,79471,63877,17855,3626,22298,7222,2233715,72903,38310,211211,608686,42602,94627,121583
total_pouluation,7189020,21518,87236,71617,19745,4089,24788,8177,2477330,84383,44179,234842,669736,46158,110051,138180
Total_people_one_dose,4268283,21518,87236,71617,19745,4089,24788,8177,2477330,84383,44179,234842,669736,46158,110051,138180
Male-65 years and older,535161,2281,9022,10529,2335,497,5579,2256,275505,19514,6939,35129,87856,4400,24312,14925
Male-55-64 years,312451,1566,6090,5098,1540,370,2163,584,181888,7813,3396,17633,46080,3043,8739,9729
Male-45-54 years,281793,1195,5551,3950,1391,313,1222,302,175542,4037,2483,16049,39476,3165,4786,8699
Male-20-44 years,692282,2804,16284,10693,3409,762,2289,615,415741,6971,5345,35761,104883,8485,9562,26011
Male-Less than 20 years,189565,2709,4185,3375,848,145,565,251,111701,1454,3223,9631,29395,3254,2234,8025
Female-65 years and older,655683,2676,10218,12520,2811,498,6016,2306,345053,21959,7839,40717,113881,5294,30169,17410
Female-55-64 years,356533,1675,6892,6176,1680,317,2508,686,205148,9188,3873,19938,55435,3286,11156,10369
Female-45-54 years,304645,1199,5682,4456,1358,314,1360,356,191067,4577,2487,16359,44974,3355,5696,9546
Female-20-44 years,722744,2623,18553,11201,3416,722,2397,546,445497,7046,5179,33241,115266,8435,9713,24449
Female-Less than 20 years,197874,2782,4501,3525,945,149,631,259,115775,1651,3380,9639,31058,3386,2536,8560
"Black or African American, non-Hispanic",121091,47,668,1369,80,42,78,32,89695,521,184,8054,13623,48,485,689
"Asian or Pacific Islander, non-Hispanic",154381,110,1398,1335,89,41,200,86,117829,1198,356,4569,18946,169,1245,1051
"American Indian or Alaska Native, non-Hispanic",161683,14868,19032,309,4739,103,2385,373,45588,636,17152,8255,13089,48,1233,1057
Unknown,475459,1514,15335,9641,4205,310,5115,1894,195600,13329,2673,32365,83996,2908,24708,30465
Other Race,681869,1232,10367,11468,1526,109,4411,1172,446510,14979,7756,30733,93831,3142,17155,15396
Hispanic or Latino,756584,492,6312,17840,3463,1825,1337,1184,400568,6491,2264,37002,153833,33105,7300,61204
"White, non-Hispanic",1917216,3255,34124,29655,5643,1659,11262,3436,1181540,47229,13794,113864,292418,6738,57925,28318
