Category,Coconino
Total_doses_administered,172373
Total_people_one_dose,87236
Total_people_complete,79471
total_pouluation,87236
Male-65 years and older,9022
Male-55-64 years,6090
Male-45-54 years,5551
Male-20-44 years,16284
Male-Less than 20 years,4185
Female-65 years and older,10218
Female-55-64 years,6892
Female-45-54 years,5682
Female-20-44 years,18553
Female-Less than 20 years,4501
"Black or African American, non-Hispanic",668
"Asian or Pacific Islander, non-Hispanic",1398
Hispanic or Latino,6312
Other Race,10367
Unknown,15335
"American Indian or Alaska Native, non-Hispanic",19032
"White, non-Hispanic",34124
