Category,Maricopa
Total_doses_administered,4904067
Total_people_one_dose,2477330
Total_people_complete,2233715
total_pouluation,2477330
Male-65 years and older,275505
Male-55-64 years,181888
Male-45-54 years,175542
Male-20-44 years,415741
Male-Less than 20 years,111701
Female-65 years and older,345053
Female-55-64 years,205148
Female-45-54 years,191067
Female-20-44 years,445497
Female-Less than 20 years,115775
"American Indian or Alaska Native, non-Hispanic",45588
"Black or African American, non-Hispanic",89695
"Asian or Pacific Islander, non-Hispanic",117829
Unknown,195600
Hispanic or Latino,400568
Other Race,446510
"White, non-Hispanic",1181540
