Category,Graham
Total_doses_administered,38392
Total_people_one_dose,19745
Total_people_complete,17855
total_pouluation,19745
Male-65 years and older,2335
Male-55-64 years,1540
Male-45-54 years,1391
Male-20-44 years,3409
Male-Less than 20 years,848
Female-65 years and older,2811
Female-55-64 years,1680
Female-45-54 years,1358
Female-20-44 years,3416
Female-Less than 20 years,945
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1526
Hispanic or Latino,3463
Unknown,4205
"American Indian or Alaska Native, non-Hispanic",4739
"White, non-Hispanic",5643
