Category,Greenlee
Total_doses_administered,7917
Total_people_one_dose,4089
Total_people_complete,3626
total_pouluation,4089
Male-65 years and older,497
Male-55-64 years,370
Male-45-54 years,313
Male-20-44 years,762
Male-Less than 20 years,145
Female-65 years and older,498
Female-55-64 years,317
Female-45-54 years,314
Female-20-44 years,722
Female-Less than 20 years,149
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",103
Other Race,109
Unknown,310
"White, non-Hispanic",1659
Hispanic or Latino,1825
