Category,Arizona
Total_doses_administered,8314932
Total_people_complete,376459
total_pouluation,7189020
Total_people_one_dose,4268283
Male-65 years and older,535161
Male-55-64 years,312451
Male-45-54 years,281793
Male-20-44 years,692282
Male-Less than 20 years,189565
Female-65 years and older,655683
Female-55-64 years,356533
Female-45-54 years,304645
Female-20-44 years,722744
Female-Less than 20 years,197874
"Black or African American, non-Hispanic",121091
"Asian or Pacific Islander, non-Hispanic",154381
"American Indian or Alaska Native, non-Hispanic",161683
Unknown,475459
Other Race,681869
Hispanic or Latino,756584
"White, non-Hispanic",1917216
