Category,Maricopa
Total_doses_administered,5629938
Total_people_one_dose,2658768
Total_people_complete,2308031
total_pouluation,2658768
Male-65 years and older,286691
Male-55-64 years,189334
Male-45-54 years,183754
Male-20-44 years,440263
Male-Less than 20 years,150022
Female-65 years and older,358050
Female-55-64 years,212828
Female-45-54 years,199103
Female-20-44 years,471276
Female-Less than 20 years,152969
"American Indian or Alaska Native, non-Hispanic",52043
"Black or African American, non-Hispanic",103049
"Asian or Pacific Islander, non-Hispanic",134803
Unknown,179288
Other Race,428882
Hispanic or Latino,447989
"White, non-Hispanic",1312714
