Category,Apache
Total_doses_administered,61333
Total_people_one_dose,29471
Total_people_complete,22720
total_pouluation,29471
Male-65 years and older,2802
Male-55-64 years,2043
Male-45-54 years,1634
Male-20-44 years,3901
Male-Less than 20 years,4032
Female-65 years and older,3366
Female-55-64 years,2193
Female-45-54 years,1602
Female-20-44 years,3784
Female-Less than 20 years,4106
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,571
Unknown,1121
Other Race,1146
"White, non-Hispanic",3662
"American Indian or Alaska Native, non-Hispanic",22776
