Category,Santa Cruz
Total_doses_administered,109899
Total_people_one_dose,56720
Total_people_complete,44686
total_pouluation,56720
Male-65 years and older,4740
Male-55-64 years,3286
Male-45-54 years,3451
Male-20-44 years,9114
Male-Less than 20 years,6527
Female-65 years and older,5738
Female-55-64 years,3615
Female-45-54 years,3746
Female-20-44 years,9540
Female-Less than 20 years,6878
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",187
Other Race,3532
Unknown,3882
"White, non-Hispanic",7598
Hispanic or Latino,41406
