Category,La Paz
Total_doses_administered,18137
Total_people_one_dose,8993
Total_people_complete,7541
total_pouluation,8993
Male-65 years and older,2433
Male-55-64 years,617
Male-45-54 years,327
Male-20-44 years,683
Male-Less than 20 years,370
Female-65 years and older,2451
Female-55-64 years,744
Female-45-54 years,375
Female-20-44 years,601
Female-Less than 20 years,373
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",90
"American Indian or Alaska Native, non-Hispanic",535
Other Race,1187
Hispanic or Latino,1345
Unknown,1850
"White, non-Hispanic",3947
