Category,Cochise
Total_doses_administered,165044
Total_people_one_dose,81618
Total_people_complete,67137
total_pouluation,81618
Male-65 years and older,11304
Male-55-64 years,5573
Male-45-54 years,4350
Male-20-44 years,11698
Male-Less than 20 years,5540
Female-65 years and older,13234
Female-55-64 years,6593
Female-45-54 years,4896
Female-20-44 years,12405
Female-Less than 20 years,5924
"American Indian or Alaska Native, non-Hispanic",362
"Asian or Pacific Islander, non-Hispanic",1484
"Black or African American, non-Hispanic",1590
Unknown,9681
Other Race,11941
Hispanic or Latino,23317
"White, non-Hispanic",33243
