,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4213938,1199360,14892,71200,108507,36881,13286,7574,12605,1541875,87126,38764,578853,176791,34306,133530,113545
Total_people_one_dose,2611983,751949,8693,45892,63608,22011,8138,4293,8035,969707,57674,24139,363431,109632,22713,82438,74466
Total_people_complete,1745928,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,553853,,,,,,,,,,,,,,,,
55-64 years,267774,,,,,,,,,,,,,,,,
45-54 years,184810,,,,,,,,,,,,,,,,
20-44 years,384629,,,,,,,,,,,,,,,,
Less than 20 years,37559,,,,,,,,,,,,,,,,
65 years and older,74466,,,,,,,,,,,,,,,,
55-64 years,219171,,,,,,,,,,,,,,,,
45-54 years,154621,,,,,,,,,,,,,,,,
20-44 years,323878,,,,,,,,,,,,,,,,
Less than 20 years,31621,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",55376,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",63589,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",92197,,,,,,,,,,,,,,,,
Hispanic or Latino,310007,,,,,,,,,,,,,,,,
Unknown,357507,,,,,,,,,,,,,,,,
Other Race,456338,,,,,,,,,,,,,,,,
"White, non-Hispanic",1276969,,,,,,,,,,,,,,,,
