Category,Greenlee
Total_doses_administered,7574
Total_people_one_dose,4293
Total_people_complete,3464
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,513
Male-55-64 years,546
Male-45-54 years,438
Male-20-44 years,868
Male-Less than 20 years,37
Female-65 years and older,498
Female-55-64 years,390
Female-45-54 years,335
Female-20-44 years,630
Female-Less than 20 years,36
"Black or African American, non-Hispanic",0.008851618914512
"Asian or Pacific Islander, non-Hispanic",0.0100163056137899
"American Indian or Alaska Native, non-Hispanic",0.0172373631493128
Other Race,0.0191008618681575
Unknown,0.0803633822501747
"White, non-Hispanic",0.414861402282786
Hispanic or Latino,0.4495690659212672
