Category,Arizona
Total_doses_administered,10231824
Total_people_complete,4010855
total_pouluation,7189020
Total_people_one_dose,4818663
Male-65 years and older,583667
Male-55-64 years,338792
Male-45-54 years,305941
Male-20-44 years,765032
Male-Less than 20 years,288004
Female-65 years and older,709097
Female-55-64 years,384973
Female-45-54 years,329264
Female-20-44 years,799925
Female-Less than 20 years,294077
"Black or African American, non-Hispanic",147225
"Asian or Pacific Islander, non-Hispanic",184845
"American Indian or Alaska Native, non-Hispanic",209314
Unknown,435054
Other Race,683420
Hispanic or Latino,914419
"White, non-Hispanic",2244386
