Category,Cochise
Total_doses_administered,175491
Total_people_one_dose,84979
Total_people_complete,68677
total_pouluation,84979
Male-65 years and older,11556
Male-55-64 years,5731
Male-45-54 years,4537
Male-20-44 years,12113
Male-Less than 20 years,6152
Female-65 years and older,13537
Female-55-64 years,6791
Female-45-54 years,5096
Female-20-44 years,12860
Female-Less than 20 years,6503
"American Indian or Alaska Native, non-Hispanic",375
"Asian or Pacific Islander, non-Hispanic",1534
"Black or African American, non-Hispanic",1646
Unknown,10231
Other Race,12222
Hispanic or Latino,24971
"White, non-Hispanic",34000
