Category,Apache
Total_doses_administered,65198
Total_people_one_dose,30817
Total_people_complete,23218
total_pouluation,30817
Male-65 years and older,2876
Male-55-64 years,2098
Male-45-54 years,1697
Male-20-44 years,4062
Male-Less than 20 years,4331
Female-65 years and older,3445
Female-55-64 years,2254
Female-45-54 years,1671
Female-20-44 years,3951
Female-Less than 20 years,4422
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,608
Other Race,1177
Unknown,1185
"White, non-Hispanic",3724
"American Indian or Alaska Native, non-Hispanic",23925
