Category,Navajo
Total_doses_administered,105727
Total_people_one_dose,51079
Total_people_complete,41457
total_pouluation,51079
Male-65 years and older,7537
Male-55-64 years,3664
Male-45-54 years,2802
Male-20-44 years,6078
Male-Less than 20 years,4699
Female-65 years and older,8484
Female-55-64 years,4193
Female-45-54 years,2815
Female-20-44 years,5964
Female-Less than 20 years,4804
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",378
Unknown,2462
Hispanic or Latino,2662
Other Race,6420
"White, non-Hispanic",16441
"American Indian or Alaska Native, non-Hispanic",22501
