Category,Coconino
Total_doses_administered,216218
Total_people_one_dose,97520
Total_people_complete,82994
total_pouluation,97520
Male-65 years and older,9601
Male-55-64 years,6478
Male-45-54 years,5928
Male-20-44 years,17685
Male-Less than 20 years,6603
Female-65 years and older,10798
Female-55-64 years,7259
Female-45-54 years,5972
Female-20-44 years,20084
Female-Less than 20 years,6839
"Black or African American, non-Hispanic",818
"Asian or Pacific Islander, non-Hispanic",1759
Hispanic or Latino,7616
Other Race,8884
Unknown,12390
"American Indian or Alaska Native, non-Hispanic",23408
"White, non-Hispanic",42645
