Category,Graham
Total_doses_administered,47028
Total_people_one_dose,21879
Total_people_complete,18975
total_pouluation,21879
Male-65 years and older,2442
Male-55-64 years,1615
Male-45-54 years,1468
Male-20-44 years,3682
Male-Less than 20 years,1339
Female-65 years and older,2949
Female-55-64 years,1750
Female-45-54 years,1439
Female-20-44 years,3728
Female-Less than 20 years,1455
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1321
Hispanic or Latino,3957
Unknown,4168
"American Indian or Alaska Native, non-Hispanic",5585
"White, non-Hispanic",6663
