Category,La Paz
Total_doses_administered,18838
Total_people_one_dose,9247
Total_people_complete,7617
total_pouluation,9247
Male-65 years and older,2507
Male-55-64 years,648
Male-45-54 years,334
Male-20-44 years,699
Male-Less than 20 years,394
Female-65 years and older,2495
Female-55-64 years,760
Female-45-54 years,385
Female-20-44 years,622
Female-Less than 20 years,384
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",551
Other Race,1215
Hispanic or Latino,1384
Unknown,1914
"White, non-Hispanic",4048
