Category,Mohave
Total_doses_administered,194538
Total_people_one_dose,93013
Total_people_complete,77872
total_pouluation,93013
Male-65 years and older,21542
Male-55-64 years,8478
Male-45-54 years,4413
Male-20-44 years,7837
Male-Less than 20 years,1980
Female-65 years and older,23615
Female-55-64 years,9793
Female-45-54 years,4960
Female-20-44 years,8033
Female-Less than 20 years,2181
"Black or African American, non-Hispanic",650
"American Indian or Alaska Native, non-Hispanic",781
"Asian or Pacific Islander, non-Hispanic",1429
Hispanic or Latino,7618
Unknown,11694
Other Race,14703
"White, non-Hispanic",56138
