Category,Santa Cruz
Total_doses_administered,118552
Total_people_one_dose,60057
Total_people_complete,45472
total_pouluation,60057
Male-65 years and older,4889
Male-55-64 years,3440
Male-45-54 years,3590
Male-20-44 years,9481
Male-Less than 20 years,7331
Female-65 years and older,5914
Female-55-64 years,3806
Female-45-54 years,3940
Female-20-44 years,9961
Female-Less than 20 years,7617
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",191
Other Race,3625
Unknown,4475
"White, non-Hispanic",7856
Hispanic or Latino,43792
