,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1660857,384409,7948,26178,48781,14045,6101,4661,4688,659903,28395,19970,251684,69235,12767,58695,39227
Total_people_one_dose,1164941,282376,5438,18799,35636,10569,4146,3157,4135,456543,20535,14278,173783,49409,9085,48067,28985
Total_people_complete,496497,114732,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,350677,101235,,,,,,,,,,,,,,,
55-64 years,83465,15357,,,,,,,,,,,,,,,
45-54 years,76418,12688,,,,,,,,,,,,,,,
20-44 years,160853,26125,,,,,,,,,,,,,,,
Less than 20 years,5311,924,,,,,,,,,,,,,,,
65 years and older,284636,87850,,,,,,,,,,,,,,,
55-64 years,52192,10006,,,,,,,,,,,,,,,
45-54 years,48783,9106,,,,,,,,,,,,,,,
20-44 years,96160,17263,,,,,,,,,,,,,,,
Less than 20 years,3287,579,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2668,534,,,,,,,,,,,,,,,
Black or African American,17735,1332,,,,,,,,,,,,,,,
Asian,26403,3974,,,,,,,,,,,,,,,
American Indian or Alaska Native,35048,7165,,,,,,,,,,,,,,,
Hispanic or Latino,93686,10914,,,,,,,,,,,,,,,
Other Race/Unknown,417155,84390,,,,,,,,,,,,,,,
White,574205,174190,,,,,,,,,,,,,,,
