Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9431927,59223,199331,159480,42928,9079,54870,17564,5467562,180924,97699,505835,1528174,107151,240859,304861
Total_people_complete,456387,22527,81415,66481,18433,3739,22828,7474,2293576,75951,40290,218859,625151,44266,98335,126395
total_pouluation,7189020,28894,93791,79891,20913,4322,25896,8838,2621733,89347,48557,249332,720656,55728,116425,154825
Total_people_one_dose,4591069,28894,93791,79891,20913,4322,25896,8838,2621733,89347,48557,249332,720656,55728,116425,154825
Male-65 years and older,561906,2768,9367,11154,2391,512,5784,2385,283937,20733,7281,36576,91333,4682,25725,16207
Male-55-64 years,326779,2013,6317,5455,1579,368,2223,606,187487,8174,3557,18252,47860,3254,9128,10345
Male-45-54 years,294951,1616,5753,4280,1436,323,1251,326,181863,4253,2679,16713,41170,3411,5015,9139
Male-20-44 years,731237,3811,17020,11484,3554,784,2380,663,434582,7433,5742,38121,110301,9004,10121,27815
Male-Less than 20 years,254931,3909,5940,5257,1111,213,694,361,143621,1741,4248,12159,42204,6331,2850,12092
Female-65 years and older,684269,3327,10554,13070,2900,514,6184,2418,354991,22929,8220,42151,117526,5655,31400,18735
Female-55-64 years,372132,2166,7102,6486,1716,316,2593,729,211072,9523,4081,20573,57348,3560,11570,11026
Female-45-54 years,318137,1581,5852,4806,1419,326,1394,371,197313,4811,2692,16992,46755,3685,5980,10070
Female-20-44 years,764857,3716,19429,12175,3587,753,2562,597,465688,7617,5645,35038,121256,9372,10374,26238
Female-Less than 20 years,261999,3979,6193,5623,1208,211,773,364,146723,1955,4376,12008,43439,6689,3114,12578
"Black or African American, non-Hispanic",138183,59,777,1549,92,51,89,39,101093,602,203,9078,16254,57,551,823
"Asian or Pacific Islander, non-Hispanic",174627,131,1610,1458,84,43,204,89,132308,1340,352,5088,21678,184,1417,1196
"American Indian or Alaska Native, non-Hispanic",195591,22274,22321,355,5191,118,2648,521,51151,728,21096,9630,14961,57,1416,1158
Unknown,419072,1106,12682,9402,4076,312,4585,1820,175520,11500,2276,29474,65954,3794,19129,28911
Other Race,660982,1133,8606,11803,1298,89,4126,1159,425163,14308,6273,30879,90311,3478,17138,18420
Hispanic or Latino,848865,567,7030,22473,3751,1946,1419,1326,438196,7080,2455,40194,173546,40676,7987,70424
"White, non-Hispanic",2153749,3624,40765,32851,6421,1763,12825,3884,1298302,53789,15902,124989,337952,7482,68787,33893
