Category,Arizona
Total_doses_administered,9431927
Total_people_complete,456387
total_pouluation,7189020
Total_people_one_dose,4591069
Male-65 years and older,561906
Male-55-64 years,326779
Male-45-54 years,294951
Male-20-44 years,731237
Male-Less than 20 years,254931
Female-65 years and older,684269
Female-55-64 years,372132
Female-45-54 years,318137
Female-20-44 years,764857
Female-Less than 20 years,261999
"Black or African American, non-Hispanic",138183
"Asian or Pacific Islander, non-Hispanic",174627
"American Indian or Alaska Native, non-Hispanic",195591
Unknown,419072
Other Race,660982
Hispanic or Latino,848865
"White, non-Hispanic",2153749
