Category,Graham
Total_doses_administered,42928
Total_people_one_dose,20913
Total_people_complete,18433
total_pouluation,20913
Male-65 years and older,2391
Male-55-64 years,1579
Male-45-54 years,1436
Male-20-44 years,3554
Male-Less than 20 years,1111
Female-65 years and older,2900
Female-55-64 years,1716
Female-45-54 years,1419
Female-20-44 years,3587
Female-Less than 20 years,1208
"Asian or Pacific Islander, non-Hispanic",84
"Black or African American, non-Hispanic",92
Other Race,1298
Hispanic or Latino,3751
Unknown,4076
"American Indian or Alaska Native, non-Hispanic",5191
"White, non-Hispanic",6421
