Category,Navajo
Total_doses_administered,97699
Total_people_one_dose,48557
Total_people_complete,40290
total_pouluation,48557
Male-65 years and older,7281
Male-55-64 years,3557
Male-45-54 years,2679
Male-20-44 years,5742
Male-Less than 20 years,4248
Female-65 years and older,8220
Female-55-64 years,4081
Female-45-54 years,2692
Female-20-44 years,5645
Female-Less than 20 years,4376
"Black or African American, non-Hispanic",203
"Asian or Pacific Islander, non-Hispanic",352
Unknown,2276
Hispanic or Latino,2455
Other Race,6273
"White, non-Hispanic",15902
"American Indian or Alaska Native, non-Hispanic",21096
