Category,Greenlee
Total_doses_administered,9079
Total_people_one_dose,4322
Total_people_complete,3739
total_pouluation,4322
Male-65 years and older,512
Male-55-64 years,368
Male-45-54 years,323
Male-20-44 years,784
Male-Less than 20 years,213
Female-65 years and older,514
Female-55-64 years,316
Female-45-54 years,326
Female-20-44 years,753
Female-Less than 20 years,211
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",51
Other Race,89
"American Indian or Alaska Native, non-Hispanic",118
Unknown,312
"White, non-Hispanic",1763
Hispanic or Latino,1946
