Category,Apache
Total_doses_administered,59223
Total_people_one_dose,28894
Total_people_complete,22527
total_pouluation,28894
Male-65 years and older,2768
Male-55-64 years,2013
Male-45-54 years,1616
Male-20-44 years,3811
Male-Less than 20 years,3909
Female-65 years and older,3327
Female-55-64 years,2166
Female-45-54 years,1581
Female-20-44 years,3716
Female-Less than 20 years,3979
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",131
Hispanic or Latino,567
Unknown,1106
Other Race,1133
"White, non-Hispanic",3624
"American Indian or Alaska Native, non-Hispanic",22274
