Category,Mohave
Total_doses_administered,180924
Total_people_one_dose,89347
Total_people_complete,75951
total_pouluation,89347
Male-65 years and older,20733
Male-55-64 years,8174
Male-45-54 years,4253
Male-20-44 years,7433
Male-Less than 20 years,1741
Female-65 years and older,22929
Female-55-64 years,9523
Female-45-54 years,4811
Female-20-44 years,7617
Female-Less than 20 years,1955
"Black or African American, non-Hispanic",602
"American Indian or Alaska Native, non-Hispanic",728
"Asian or Pacific Islander, non-Hispanic",1340
Hispanic or Latino,7080
Unknown,11500
Other Race,14308
"White, non-Hispanic",53789
