Category,Pinal
Total_doses_administered,505835
Total_people_one_dose,249332
Total_people_complete,218859
total_pouluation,249332
Male-65 years and older,36576
Male-55-64 years,18252
Male-45-54 years,16713
Male-20-44 years,38121
Male-Less than 20 years,12159
Female-65 years and older,42151
Female-55-64 years,20573
Female-45-54 years,16992
Female-20-44 years,35038
Female-Less than 20 years,12008
"Asian or Pacific Islander, non-Hispanic",5088
"Black or African American, non-Hispanic",9078
"American Indian or Alaska Native, non-Hispanic",9630
Unknown,29474
Other Race,30879
Hispanic or Latino,40194
"White, non-Hispanic",124989
