Category,Coconino
Total_doses_administered,199331
Total_people_one_dose,93791
Total_people_complete,81415
total_pouluation,93791
Male-65 years and older,9367
Male-55-64 years,6317
Male-45-54 years,5753
Male-20-44 years,17020
Male-Less than 20 years,5940
Female-65 years and older,10554
Female-55-64 years,7102
Female-45-54 years,5852
Female-20-44 years,19429
Female-Less than 20 years,6193
"Black or African American, non-Hispanic",777
"Asian or Pacific Islander, non-Hispanic",1610
Hispanic or Latino,7030
Other Race,8606
Unknown,12682
"American Indian or Alaska Native, non-Hispanic",22321
"White, non-Hispanic",40765
