Category,Yavapai
Total_doses_administered,240859
Total_people_one_dose,116425
Total_people_complete,98335
total_pouluation,116425
Male-65 years and older,25725
Male-55-64 years,9128
Male-45-54 years,5015
Male-20-44 years,10121
Male-Less than 20 years,2850
Female-65 years and older,31400
Female-55-64 years,11570
Female-45-54 years,5980
Female-20-44 years,10374
Female-Less than 20 years,3114
"Black or African American, non-Hispanic",551
"American Indian or Alaska Native, non-Hispanic",1416
"Asian or Pacific Islander, non-Hispanic",1417
Hispanic or Latino,7987
Other Race,17138
Unknown,19129
"White, non-Hispanic",68787
